Experiment ID                :  TravelingSalesman
Problem Type                 :  TS
Data Input File Name         :  NA
Number of Runs               :  30
Generations per Run          :  100
Population Size              :  40
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  2
Crossover Rate               :  0.05
Mutation Type                :  2
Mutation Rate                :  0.0
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


 R   1 G   010338.32149  20488.166   4422.374
 R   1 G   110338.32149  19063.328   3570.574
 R   1 G   210338.32149  19387.232   3769.415
 R   1 G   310338.32149   18182.46   3681.279
 R   1 G   410338.32149  17359.207   4001.646
 R   1 G   510338.32149  16127.828   3942.094
 R   1 G   610338.32149    15699.4   3751.991
 R   1 G   710338.32149  14444.712   4159.242
 R   1 G   810338.32149  13663.137   3648.626
 R   1 G   910338.32149  12405.447   3088.532
 R   1 G  1010338.32149  12105.538   2494.725
 R   1 G  1110338.32149  11116.422    1535.55
 R   1 G  12 8634.36035   11486.87   1994.855
 R   1 G  1310338.32149  11136.612   1306.269
 R   1 G  1410338.32149  11207.066    1415.83
 R   1 G  1510338.32149  11005.212   1230.508
 R   1 G  1610338.32149  10845.898   1094.113
 R   1 G  1710338.32149  10811.067    1319.47
 R   1 G  1810338.32149  10885.049    1342.97
 R   1 G  19 5710.14936   10918.09   1670.392
 R   1 G  20 9194.93193  11217.687   1824.601
 R   1 G  2110338.32149  10877.412   1303.731
 R   1 G  22  6424.4039  10717.948   1814.221
 R   1 G  23  6424.4039    10073.8   1249.308
 R   1 G  24  6424.4039   9623.422   1628.025
 R   1 G  25  6424.4039   9308.458   1804.291
 R   1 G  26  6424.4039   8712.659   1996.586
 R   1 G  27  6424.4039   8602.289   1998.041
 R   1 G  28  6424.4039    8113.05   1992.082
 R   1 G  29  6424.4039   7317.557   1680.442
 R   1 G  30  6424.4039   7427.927   1763.218
 R   1 G  31  6424.4039   6926.166   1346.361
 R   1 G  32  6424.4039   6815.796   1189.134
 R   1 G  33  6424.4039   6815.796   1189.134
 R   1 G  34  6424.4039   6815.796   1189.134
 R   1 G  35  6424.4039   6522.252    618.845
 R   1 G  36  6424.4039   6424.404        0.0
 R   1 G  37  6424.4039   6424.404        0.0
 R   1 G  38  6424.4039   6424.404        0.0
 R   1 G  39  6424.4039   6424.404        0.0
 R   1 G  40  6424.4039   6424.404        0.0
 R   1 G  41  6424.4039   6424.404        0.0
 R   1 G  42  6424.4039   6424.404        0.0
 R   1 G  43  6424.4039   6424.404        0.0
 R   1 G  44  6424.4039   6424.404        0.0
 R   1 G  45  6424.4039   6424.404        0.0
 R   1 G  46  6424.4039   6424.404        0.0
 R   1 G  47  6424.4039   6424.404        0.0
 R   1 G  48  6424.4039   6424.404        0.0
 R   1 G  49  6424.4039   6424.404        0.0
 R   1 G  50  6424.4039   6424.404        0.0
 R   1 G  51  6424.4039   6424.404        0.0
 R   1 G  52  6424.4039   6424.404        0.0
 R   1 G  53  6424.4039   6424.404        0.0
 R   1 G  54  6424.4039   6424.404        0.0
 R   1 G  55  6424.4039   6424.404        0.0
 R   1 G  56  6424.4039   6424.404        0.0
 R   1 G  57  6424.4039   6424.404        0.0
 R   1 G  58  6424.4039   6424.404        0.0
 R   1 G  59  6424.4039   6424.404        0.0
 R   1 G  60  6424.4039   6424.404        0.0
 R   1 G  61  6424.4039   6424.404        0.0
 R   1 G  62  6424.4039   6424.404        0.0
 R   1 G  63  6424.4039   6424.404        0.0
 R   1 G  64  6424.4039   6424.404        0.0
 R   1 G  65  6424.4039   6424.404        0.0
 R   1 G  66  6424.4039   6424.404        0.0
 R   1 G  67  6424.4039   6424.404        0.0
 R   1 G  68  6424.4039   6424.404        0.0
 R   1 G  69  6424.4039   6424.404        0.0
 R   1 G  70  6424.4039   6424.404        0.0
 R   1 G  71  6424.4039   6424.404        0.0
 R   1 G  72  6424.4039   6424.404        0.0
 R   1 G  73  6424.4039   6424.404        0.0
 R   1 G  74  6424.4039   6424.404        0.0
 R   1 G  75  6424.4039   6424.404        0.0
 R   1 G  76  6424.4039   6424.404        0.0
 R   1 G  77  6424.4039   6424.404        0.0
 R   1 G  78  6424.4039   6424.404        0.0
 R   1 G  79  6424.4039   6424.404        0.0
 R   1 G  80  6424.4039   6424.404        0.0
 R   1 G  81  6424.4039   6424.404        0.0
 R   1 G  82  6424.4039   6424.404        0.0
 R   1 G  83  6424.4039   6424.404        0.0
 R   1 G  84  6424.4039   6424.404        0.0
 R   1 G  85  6424.4039   6424.404        0.0
 R   1 G  86  6424.4039   6424.404        0.0
 R   1 G  87  6424.4039   6424.404        0.0
 R   1 G  88  6424.4039   6424.404        0.0
 R   1 G  89  6424.4039   6424.404        0.0
 R   1 G  90  6424.4039   6424.404        0.0
 R   1 G  91  6424.4039   6424.404        0.0
 R   1 G  92  6424.4039   6424.404        0.0
 R   1 G  93  6424.4039   6424.404        0.0
 R   1 G  94  6424.4039   6424.404        0.0
 R   1 G  95  6424.4039   6424.404        0.0
 R   1 G  96  6424.4039   6424.404        0.0
 R   1 G  97  6424.4039   6424.404        0.0
 R   1 G  98  6424.4039   6424.404        0.0
 R   1 G  99  6424.4039   6424.404        0.0
1     19 R   2 G   0 10092.0901  18898.139    4439.61
 R   2 G   1 10092.0901  17531.973   4532.788
 R   2 G   2 10092.0901  17381.251   4794.622
 R   2 G   3 10092.0901  15615.929   4581.322
 R   2 G   4 10092.0901  13830.996   3863.435
 R   2 G   5 10092.0901  12788.124   3280.266
 R   2 G   6 10092.0901  12277.804    3035.33
 R   2 G   7 6568.74834  11612.715   2668.208
 R   2 G   8 6568.74834  10919.858   2075.416
 R   2 G   9 6568.74834  10703.191   2602.436
 R   2 G  10 6568.74834   9927.258   2493.297
 R   2 G  11 6568.74834    8682.49   2799.676
 R   2 G  12 6568.74834   7987.277   2633.315
 R   2 G  13 6568.74834   7437.483   2336.837
 R   2 G  14 6568.74834   6882.505   1032.723
 R   2 G  15 6568.74834   6897.098   1167.815
 R   2 G  16 6568.74834   6897.098   1167.815
 R   2 G  17 6568.74834   6678.198    692.221
 R   2 G  18 6568.74834   6568.748        0.0
 R   2 G  19 6568.74834   6568.748        0.0
 R   2 G  20 6568.74834   6568.748        0.0
 R   2 G  21 6568.74834   6568.748        0.0
 R   2 G  22 6568.74834   6568.748        0.0
 R   2 G  23 6568.74834   6568.748        0.0
 R   2 G  24 6568.74834   6568.748        0.0
 R   2 G  25 6568.74834   6568.748        0.0
 R   2 G  26 6568.74834   6568.748        0.0
 R   2 G  27 6568.74834   6568.748        0.0
 R   2 G  28 6568.74834   6568.748        0.0
 R   2 G  29 6568.74834   6568.748        0.0
 R   2 G  30 6568.74834   6568.748        0.0
 R   2 G  31 6568.74834   6568.748        0.0
 R   2 G  32 6568.74834   6568.748        0.0
 R   2 G  33 6568.74834   6568.748        0.0
 R   2 G  34 6568.74834   6568.748        0.0
 R   2 G  35 6568.74834   6568.748        0.0
 R   2 G  36 6568.74834   6568.748        0.0
 R   2 G  37 6568.74834   6568.748        0.0
 R   2 G  38 6568.74834   6568.748        0.0
 R   2 G  39 6568.74834   6568.748        0.0
 R   2 G  40 6568.74834   6568.748        0.0
 R   2 G  41 6568.74834   6568.748        0.0
 R   2 G  42 6568.74834   6568.748        0.0
 R   2 G  43 6568.74834   6568.748        0.0
 R   2 G  44 6568.74834   6568.748        0.0
 R   2 G  45 6568.74834   6568.748        0.0
 R   2 G  46 6568.74834   6568.748        0.0
 R   2 G  47 6568.74834   6568.748        0.0
 R   2 G  48 6568.74834   6568.748        0.0
 R   2 G  49 6568.74834   6568.748        0.0
 R   2 G  50 6568.74834   6568.748        0.0
 R   2 G  51 6568.74834   6568.748        0.0
 R   2 G  52 6568.74834   6568.748        0.0
 R   2 G  53 6568.74834   6568.748        0.0
 R   2 G  54 6568.74834   6568.748        0.0
 R   2 G  55 6568.74834   6568.748        0.0
 R   2 G  56 6568.74834   6568.748        0.0
 R   2 G  57 6568.74834   6568.748        0.0
 R   2 G  58 6568.74834   6568.748        0.0
 R   2 G  59 6568.74834   6568.748        0.0
 R   2 G  60 6568.74834   6568.748        0.0
 R   2 G  61 6568.74834   6568.748        0.0
 R   2 G  62 6568.74834   6568.748        0.0
 R   2 G  63 6568.74834   6568.748        0.0
 R   2 G  64 6568.74834   6568.748        0.0
 R   2 G  65 6568.74834   6568.748        0.0
 R   2 G  66 6568.74834   6568.748        0.0
